Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
image_bodo_87.jpg,Negative,Sarcastic,Vulgar,Abusive,Individual,Bese one mwn ang bikow ctwb buji tara L...dwi begor ah
image_bodo_309.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Kokrajhar थंआलि Chirang खान्दा खान्दा गानग्रा Baksa दखना गानग्रा Udalguri लेबेल बारा
image_bodo_18.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,बर'नि गिबिसिन सोर आयजोआ बेसेबां मायथाइआव बबे हाजोआव हासुदोंमोन ?
image_bodo_140.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,Bab re one week mwjang mwnlai naiyao nw cover photo dwnna lalaibaobai
image_bodo_200.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,थैनानै गोदान जोनोम जाबाथाय मोसौ जागोन आं मोसौ नोंसोर लाय
image_bodo_318.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,दानि जुगाव ऩगीुगल सिख्ला नागिरनाय आरो साल- खुन्थानि रोदा नागिरनाय एखे बाथ्रा
image_bodo_630.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Comment Raja ADRE- akhaijwng damgra rwonia exam Swmaoshar Basumatary adre abu rwngywipwrni exam Munn Basu Ultra Pro Max ha ha ha right Mithisar Wary Ultra pro Max Wow
image_bodo_575.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,सायोबो नामा माथो आआ उ आ होनलायथारो सायोब्ला मानोथो गोदान गोदान नागिरबावो माखासेया
image_bodo_632.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Oitachar comment Cereio jMiuucha Uwaneiang Cpaya jaa guar ngan lepw lwpw Doka Gala Rojo jwb baina ? Na Bidinw dabw ? रोनाव फाग्ला Thaso bibar ngkow viral janainipwrwi birat posaigra jabai ang
image_bodo_546.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,आथसा गोलाव गोलाव नागिरोब्ला लाय माथो गसुंजोंबो आआआ... आइदै साबाय होनो गरायफोर
image_bodo_479.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,बासआवबा दुगैआखै नोंसोर माखौबा LEVEL देखायगासिनो हनै
image_bodo_189.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,Engine pwranw lorgo torgo jajwbai dang manc pwr na lwngnanwi
image_bodo_28.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,saize saize ckla pwra duga jngnw memes shere klm laiya bra kela
image_bodo_625.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Rahul Boro Hit nwngya mala busa sa sw
image_bodo_591.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,दाम गोसानि गारि सामलायनाय महर गोसा हिनजाव सामलायनाय एखे
image_bodo_454.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,2024 आव हौवा खारनाइ JSNUSRY  सिमआव सा 4
image_bodo_338.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,DOLLER PAYMENT HABBA MATW ADWIMWNA WNKAM WNGKRI SONGNANGGWONW
image_bodo_592.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,"गामिफोराव ओरैबादि मानसि थायो बिसोर मालायनि हानि सिमाखौ नागारनानै जोबोद मोजां मोनो । बिदि मानसिफोरखौ भुटान, बांग्लादेश आरो पाकिस्ताननि सिमायाव लांना न लुना दोनहैब्ला दाहालागै खावसे हायानो भारतनि जागौमोन "
image_bodo_24.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,सिख्लाफोरनि फान्थाब फुन्थाब द्रेस गान्नाय नुनायावसो गरम जाखो ना बोथोरानो गरमखा जाखोब्रा
image_bodo_337.jpg,Negative,Sarcastic,Vulgar,Abusive,None,नों हिनजावबा बिराद बैथालि जागौमोन
image_bodo_15.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,लामायाव सेंग्राफोर नुब्ला गेसाव खिफिना होलांनाय हुदाखौ गार नोंसोर M आरो P
image_bodo_12.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,आंनि हिन्जाव आं आंनि बिखुनजो
image_bodo_27.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,Gwsw twnai Gwnangkha nuba like hwnw bayw Lang Kela barakwoba
image_bodo_6.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,"सिख्लाफोरा जेसेबांनोखि समायना, लेखा गोरोंआनो जायाथों मानो जेब्लाबो हौवानि सिङावसो थाखानांगौ"
image_bodo_19.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,मालायखौ मा बुनो गावनि असे लोगोफोरानो Like होआ माथो
image_bodo_604.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,jarla lwi comment prabw Thanks All Boibw Naidw Share khalam dw onna Nwi Full video Pwigwn senw Angni Mithinga Vlog Channel aw nw Nugwn Nice Very Nice Nice jwngni boro abo ada mwn somaina pwr ka
image_bodo_626.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Bom Lom Bro Ag hala ... Marwi sikwmn rojo lainai.. Mancpra undwi gotopwrni acting kalmna gabnw hayw jatari Kamanipwrni sayao
image_bodo_627.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"Sabodan bimamwn aji kalini sikaopra Hinjaopwrni pen gosla kaogragwjasw asorid mwiya mwiya sikao be pen bwraikwo kaona lamgna ma mwnkw , Kolta Gorom Napam Napam buyd mwnamsugwn bra be ckaoya Dali johol songby site yao bekwo lananwi mwnamsuby bedor buynangla "
image_bodo_417.jpg,Positive,Sarcastic,Vulgar,Abusive,None,Gundaya angbw Gundaka ase Teobw ase change jasang raijwpwr
image_bodo_431.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,आं हिनजाव लाला swrba sasekwo ese gwsw hwdw pesa sasesw gwnang pwrkwonw
image_bodo_311.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,The Art Longthong Modern jug The Artist
image_bodo_21.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,हाजारखि दामि दामिनि दख'ना गानाथों मानो बैथालिया बैथालिखा
image_bodo_559.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,साख्रि बोाख्रि गैयाब्ला नेवसिजामारो बै थरला थरला सेंग्राफोरा बोरै फथायना लायो  ?
image_bodo_569.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,बे लंफेन गानग्रा सिख्लाफ्रा लामाफ्राव हासुनो ओंखारबा बोरै हासुयो ना Huggies गानो
image_bodo_501.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,FACEBOOK खुलि जेन्नायनिफ्रायनो दासिम FACEBOOK आव गोसोम सिख्ला नुवाखै आं
image_bodo_8.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Religion,"फिसा आं मिथिगौ नों जोबोर दुखुआव दं अन्नानै बिमा थास' बिबारनि मुङाव Like मोनसे होलां अब्लानो नोंनि गासै सान्नायफोरा जाफुंगोन ""जै आइ थास' बिबारनि"""
image_bodo_39.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Individual,Mohor gwija rwngwi khainw jng pwrkwo raobw naison tarla
image_bodo_379.jpg,Negative,Sarcastic,Vulgar,Abusive,Social Sub-groups,"Pagla pagla man c dongswi , Fanta na fanti jkw , ngswngnaya angna besw de , Nwng Ni Mal kwo Hao Nagwo Hijira sais lagaobai ng bimani cpa mntw panti badi bw nuyw panta badi"
image_bodo_330.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Nwng na sipaya gidir ruja jaa. gugum kaa
image_bodo_462.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,5K 12K निफ्राय DIRECT 40 LAKH आव  BTR गुदुंनि दामआ बारा जाबाय
image_bodo_17.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,आंजिखालि हिन्जावफोरा ओरैनो खाराथ' हौवाया गावखौ बेसेबां अनो बेखौ आन्जाद नायनो थाखायसो गुबुन हौवाजों खारथ'यो ।
image_bodo_418.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,गुसु बोथोरबाबो सिख्लाफोरा गोजांआ सेंग्रा फोरना दांग्रोम बाबो मोनलायै जायो ओमफ्राय
image_bodo_374.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Mhry Medika Besitw laya mn dakal ni ngha Pan naia hwoa pwr nw hai Mtw ng cpa bw letra nw hai
image_bodo_315.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,बैथालाफोरा जानायनि मुं लाफ्लाना हाग्रा बारियाव लांसिगोनलाय
image_bodo_609.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,"Nwngsina Swimming Twimming Dugwihwiba angna benw Swimming pool Ang mwnse kahani khintani khwnasong Bajwi ..... jwng gami khatini mising (Miri) sikla sase Bibdi Dwimayao dugwibai dongmwn nw ... wmfrai bini mabayao berlao habnanwi doctor nao sw bokho hwijadwng , Mainao Iswary Sun Flower ma nwmpani kahani jakwsi belai"
image_bodo_345.jpg,Negative,Sarcastic,Non Vulgar,Abusive,None,खालाय जुलि
image_bodo_562.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Water Milon Ni Takysw cklapwrkwo somaina nuyw
image_bodo_552.jpg,Negative,Sarcastic,Vulgar,Abusive,None,Single फोरनि गोसोखौ दबथायनो हाग्रा नायल - जाल मोनसेल App
image_bodo_399.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,HAJIRA MAONA GF KWO PARK DWIBYHWINA MA MWNKW GARJABA GABLA BYDW WMPRY
image_bodo_444.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,रानथें रान्थें सिख्लाफोरा नआव माबा बिनानै मोनाबा रागा जोंना सान 5 गाहाम ओंखाम जायानो माथो
image_bodo_618.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,akola ma baide cinima garaya ma baideka gunda bada josh cinima gara josh be logrog undubao lases seg man sonman gwijaywi
image_bodo_324.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,bty- bin tu Togaidwmg na lwdwi taptananwi twigwn ng X Abu  Lodoi Swbgra sw nama
image_bodo_3.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,सिख्लाफोरनि बयनिसिमबो गोब्राबसिन खामानिया मा 1. Reel बानायनाय 2.दुगैनाय 3. हौवा गोसोथोनाय 4. देलायनाय 5. Mobile नायनाय 6. बेरायनाय
image_bodo_206.jpg,Negative,Sarcastic,Vulgar,Abusive,None,Lwd...i beg...t jng bai dwi ang ngkwo
image_bodo_327.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,गाायनो फुनो गोरों आं जेरावबो आखा फाखा सान्दुं अखा जेखौबो गिया आं मावथि बर सिख्ला
image_bodo_201.jpg,Negative,Sarcastic,Vulgar,Abusive,None,Bigut sala agni ex ni photo kow dabw danakhwi ng
image_bodo_410.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Social Sub-groups,BORGOYARI = LWNGRA POLITICAL NI KWTA RYLYGRA NARZARY = LWNGRA ENGLISH RYLYGRA BASUMATARY = LWNGBA GABGRA BORO= LWNGBATY WNKAM JAYA MUSHAHARY= LWNBATY WNGKAM JAYA
image_bodo_458.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Bepwrkwo swr Gotoya janw giya janw Beni Bf ya pura Gaiker buynggwn
image_bodo_334.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,Ebar gaiwna gaiya Gaya jayw penda nynggeo ya cklapwrni
image_bodo_613.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Rimi Narzary Rimi Laji rwngwi Gemsri Daimari Official Rimi Narzary Rimi ngsa nwmfa aa jahwfwinai khai ang lajinw nanggwo Bili Bsty yao dabw nuywmn nma Gemsri Daimari official Bili Bsty Nwngsa ngngda aa viral Khamani khwo ? Dabw nwmbajwi gwdan jwng
image_bodo_401.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,hinjao pra bwkw mwsababw dai jaya HWOYAPRA ESE BWKWBANW DAI
image_bodo_352.jpg,Positive,Sarcastic,Vulgar,Abusive,None,Nwngha ma bwrkw mj ang ma bujaikw congratulations sw hwdwng ma bujaikw ang Nwngha jebw content gwila nma mj pagla koro garjri
image_bodo_402.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,लंथं जुगा फैफिन्बाय गानजों मोसानाय Reelskwo बिहाव बिखुनजो आ नुसनब्ला मा सानगोन
image_bodo_340.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,bty- bin tu Togaidwmg na lwdwi taptananwi twigwn ng X Abu
image_bodo_568.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,"उसुंआव हासुग्रा सिख्लाफोरनि मुं गिबि हांखो- P,A,D,F,J,S,K,L,R 1 उसुंनि हा खुरख होग्रा हारिनि सिख्लाफोरनि गिबि हांखो -  H आरो M"
image_bodo_480.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,सोरबा सोरबा teacher  फोरा नखराव बिसिजों दावराव जाना फैसै खिथेरखौ students  फोरनावसो होखारनोफैसै बिदिजों जागोन संसारआ
image_bodo_426.jpg,Negative,Sarcastic,Vulgar,Abusive,None,DWIDEN NI HINJAO GODAI NAIDO BOIBW HABAYA MALA Namkwo abu labanw tatarw mwnwtw abul
image_bodo_7.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Social Sub-groups,"Bodo - हाबा जानो गिग्रा
Wary - गोसोथोनाय निफ्राय फैसा जाख्ल'ना गारग्रा
Narzary - गुफुर गुफुर गोसोथोनाय नागिरग्रा
Basumatary - फाथै जाबखोनाय बादि गोसोथोनाय लाग्रा
Daimary - लोगोनि गोसोथोनाय खौ खायदा खालामनानै लाग्रा
Muchahary - बिमा बिफा नायग्राखौ लाग्रा
Brahma - माहाजोन माहाजोन गोसोथोनाय नागिरग्रा
Goyary - लोगोफोरनाव Number बिथिं बिथिं गोसोथोग्रा"
image_bodo_611.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,Sumy Bsty Beni address nangwo angnw swr hinjaw bepari biyw semaya Video labw nangwo Nama agwi mwn bung ?? Nwg lai hor 1 ao bese laihw....10 20k ag jagwn bung
image_bodo_377.jpg,Positive,Sarcastic,Non Vulgar,Abusive,None,RANGINA 40K HWBY ANG
image_bodo_32.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,somaina ckla pra saize gwywi senggra pwr nuba wrwibadi acting klmw jen mwnayao Buhut kwo nw nubai swi arw
image_bodo_16.jpg,Negative,Sarcastic,Vulgar,Abusive,Others,अलसिया खिबा खिना खिथु सुना लानो बाग्रा जुहुनाल' थाग्रा बेबायदि मानसिफोरासो Like होनो बायो
image_bodo_502.jpg,Negative,Sarcastic,Vulgar,Abusive,None,हाग्रा बारिआव ओंखाम ओॆख्रि गेलेलायनायखौबा गिआ अखा खोरोमनायखौ बा थोरथोर गिगोन
image_bodo_412.jpg,Negative,Sarcastic,Vulgar,Abusive,None,फिसाजोखौ मोनाब्ला बिमाखौनो लागोन आंबो
image_bodo_203.jpg,Negative,Sarcastic,Vulgar,Abusive,None,Ma gontha songsar lagwn lwi be badi gorom ao
image_bodo_533.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,हाबा जायालासे थानाय हिनजावखौ मा बुङो क) आवलुरि ख) उखुनदि ग) आदुंगारि घ) बालद्नि
image_bodo_25.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,सिख्लाफोरनि फान्थाब फुन्थाब द्रेस गान्नाय नुनायावसो गरम जाखो ना बोथोरानो गरमखा जाखोब्रा ।
image_bodo_235.jpg,Negative,Sarcastic,Vulgar,Non-abusive,None,Lamayao jora jora takha Naga Kla Bukla jwbbgn ctwb
image_bodo_257.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Gender,gidir janaini dangja jambi pwr
image_bodo_328.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,Be hwoakwo Swrba sinai baina nubai baiyw ba kitahor de lwgwpwr mansiya Dist. Baksa nolbari gamini name a hala dola buggw gwmbwr narzary hinjao lana karna dg hinjao a pisa sanwi gwngka ! hwoana hinjao a bijwng Satam jasigwn jalai garlaiya
image_bodo_252.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Good night sona होनहर ग्राबो गैया
image_bodo_31.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,सोरबा गोसो थोयोब्ला गोसो थोगौ आं i love you खनसे बुंहरबा .हामगौ ।
image_bodo_504.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,नोंं फरायबाय थानायखौ मेगन खेबबायलां आं नोंखौसो थैस थांसनि खालामनो सानबाय
image_bodo_616.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Lwkhi fwibai Be okhaya Madwi Gemsrini mwdwisw
image_bodo_548.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,अबे सासे मोदायखौ फुजिबा GF मोनगोन जाखो आदैमोन
image_bodo_98.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,Khapalao nw gwila nma tai
image_bodo_179.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,Gwsw ah maniya Khali binilo Khwta Sanplanggw
image_bodo_283.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,Agni habani Takai Pina dwnkani swi
image_bodo_296.jpg,Positive,Sarcastic,Vulgar,Non-abusive,None,twt ctwb agnwbw sase banai na hwdw lwi single Tabai tanw babai kela
image_bodo_383.jpg,Negative,Sarcastic,Vulgar,Non-abusive,None,सिखाव खावनो फैनायाव जेबो एबा बेसेन गोसा मुवा मोनलाङैनि आइजोखौ खुदुमलांदों । ऩ' सिङाव जेबो रां मुवा बेसाद मोनैलाय सासे 38 बोसोर बैसोनि आइजोखौ खुदुमलाङो
image_bodo_95.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Oi sirmwn swrba Sa 1 banaina hwdw bra
image_bodo_329.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,सोरनिबा सोरनिबा बाजैमोननि Acting  खौ नायना हारसिं मिनिफ्रांयो आं
image_bodo_408.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,FIRST NIGHT आव गिना खारफालांगोनसोदां आंहा नुफेरथाराखै
image_bodo_567.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Gender,बाथाला TOTO DRIVER आ हाखर हाखरजों सालायनानै जोंनि दुदु मावनायखौ आयनायाव नायबाय थादों
image_bodo_99.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,Duku mwnbailang dinwi
image_bodo_184.jpg,Negative,Sarcastic,Vulgar,Non-abusive,Gender,Crush Gwiya agna Ng Janw nm Jwrwo
image_bodo_185.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Feeling sad onnai hwbla tai onnai kwonw mwnpina manw?
image_bodo_66.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,I love u lwi Ngkhwo budg laogii
image_bodo_450.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,Gender,नोंखौ गोसोम होन्ना मिथिखायो आं बोरै एथ गुफुर गुफुर photo upload  होबाय थायो नों ?
image_bodo_271.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,oii Lwgwpwr गाज्रि बासा बुंनो हामा दे
image_bodo_115.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,Raobw kobor lagra gwiya Duku ni Somao
image_bodo_382.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,सानबोसे जाखो दुगैयैआ जारौ
image_bodo_93.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Swrha pwisa mwndwng swrha pwisa gwmadwdg swrba haba jalai dg swrba mwndg madg gwiya angha bidiyao jebw udis gwiya
image_bodo_181.jpg,Positive,Non-Sarcastic,Non Vulgar,Non-abusive,None,Hasthainai nai mani Gaswi kwo bw Mwnjwbnai mwnbla Raokwobw naggla mwn Angnw
image_bodo_608.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,"I am waiting for your call and message prakash , Angkwosw Hwnkwna makw Nambarbw Gwiya nwngkwonw hwndwng be nongalwi pongbai nwnggwo khwmalwi aywi nwng nongalwi sona "
image_bodo_109.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Sna ngkhou mwngwnna mwnla ag
image_bodo_180.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,Bininw Riply Negasinw Natai Dabw gwiya
image_bodo_138.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,Please Ng agniprai Gwjanao tato dw mithibai
image_bodo_541.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,ADSRE COMMOND QUESTION 1) 12K बिमं मोन्नाय आइजोनि मुंआ मा ? 2) थास बिबार मोनहा बेसे गोलाव गावलायामोन ?  3)  निग्र हौवा लाना FAMOUS जानाय सिख्लानि मुंआ मा ? 4) BLACK COBRA नि खामानिआ मा ?
image_bodo_159.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,He he he I Love u sona ngkwo nw
image_bodo_534.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,Gender,फुजानि सिगां खानाय गोलाव मोन्नायबा हामगौमोन सोरबा जादो ब्रा दे
image_bodo_492.jpg,Positive,Sarcastic,Vulgar,Non-abusive,None,बेगरआव एलाज्रि जाबाय दां खुरै खुरै गोजा खालामजोबबाय आं मान्नायानो जेरावबो ओंखारनो हाला
image_bodo_432.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,Angni Facebook kwo bny na hetardw dari rojonyni idea hwgwn ag blue tick verify klm na ladw Bhai report hwbabw geoahkwi ba 6mont sw barvai ba ampi original video hwbai tadw oblanw kargwn be ok bro
image_bodo_10.jpg,Positive,Sarcastic,Non Vulgar,Non-abusive,None,नोंथाङा मोनायाव उन्दुनाय समाव माबोरै उन्दुयो
image_bodo_144.jpg,Negative,Sarcastic,Non Vulgar,Non-abusive,None,Twisigwn nwngdaya Nanimwn agwimwn
image_bodo_205.jpg,Positive,Sarcastic,Vulgar,Non-abusive,None,aywi ngkhwo mwnnai mwnba ctwb Jatar bai mwn
image_bodo_256.jpg,Negative,Non-Sarcastic,Non Vulgar,Non-abusive,None,Durga puja ni dress gwdan bainw hanaini kepasiti gwila deglai
